Time,Temperature,Feels Like,Humidity,Pressure,Pressure Trend,Rain Today,Rain Rate,Rain Last 24 Hr,Wind Speed,Wind Gust,Wind Direction,Dew Point
2026-06-10 21:23:10.213847,89.1,98.6,61.6,30.036,-0.078,0.01,0,0.01,1.55,1.55,179,74.2
2026-06-11 12:30:00.678477,,,,,,,0,,,0,,
2026-06-11 12:30:00.680963,73.4,76,94.8,,,0,0,0,0.56,0.56,277,71.8
2026-06-11 12:30:00.682096,73.4,76,94.8,30.082,0.037,0,0,0,0.56,0.56,277,71.8
2026-06-11 12:30:00.683106,73.4,76,94.8,30.082,0.037,0,0,0,0.56,0.56,277,71.8
2026-06-11 21:28:52.533867,,,,,,,0,,,0,,
2026-06-11 21:28:52.536590,96,105.2,46.4,,,0,0,0,2.73,2.73,308,72.1
2026-06-11 21:28:52.537766,96,105.2,46.4,30.002,-0.043,0,0,0,2.73,2.73,308,72.1
2026-06-11 21:28:52.538806,96,105.2,46.4,30.002,-0.043,0,0,0,2.73,2.73,308,72.1
2026-06-12 11:51:34.941561,,,,,,,0,,,0,,
2026-06-12 11:51:34.943892,96,105.2,46.4,,,0,0,0,2.73,2.73,308,72.1
2026-06-12 11:51:34.944761,96,105.2,46.4,30.002,-0.043,0,0,0,2.73,2.73,308,72.1
2026-06-12 11:51:34.945534,96,105.2,46.4,30.002,-0.043,0,0,0,2.73,2.73,308,72.1
2026-06-12 18:31:28.825546,,,,,,,0,,,0,,
2026-06-12 18:31:28.828400,97.2,107,45.2,,,0,0,0,2.68,2.68,310,72.4
2026-06-12 18:31:28.829566,97.2,107,45.2,29.986,,0,0,0,2.68,2.68,310,72.4
2026-06-12 18:31:28.830570,97.2,107,45.2,29.986,,0,0,0,2.68,2.68,310,72.4
2026-06-12 23:04:31.116895,,,,,,,0,,,0,,
2026-06-12 23:04:31.119673,95.3,101.4,42.8,,,0,0,0,1.44,1.44,301,69.1
2026-06-12 23:04:31.120843,95.3,101.4,42.8,29.938,-0.018,0,0,0,1.44,1.44,301,69.1
2026-06-12 23:04:31.121832,95.3,101.4,42.8,29.938,-0.018,0,0,0,1.44,1.44,301,69.1
2026-06-13 10:08:41.350702,,,,,,,0,,,0,,
2026-06-13 10:08:41.353060,68.1,70.1,92,,,0,0,0,0,0,0,65.7
2026-06-13 10:08:41.353904,68.1,70.1,92,30.047,0.012,0,0,0,0,0,0,65.7
2026-06-13 10:08:41.354622,68.1,70.1,92,30.047,0.012,0,0,0,0,0,0,65.7
2026-06-13 15:52:50.416465,,,,,,,0,,,0,,
2026-06-13 15:52:50.419570,89.1,94.7,53.6,,,0,0,0,0.88,0.88,77,70.1
2026-06-13 15:52:50.420985,89.1,94.7,53.6,30.094,0.004,0,0,0,0.88,0.88,77,70.1
2026-06-13 15:52:50.422202,89.1,94.7,53.6,30.094,0.004,0,0,0,0.88,0.88,77,70.1
2026-06-13 20:48:57.077542,,,,,,,0,,,0,,
2026-06-13 20:48:57.080170,92.9,98.4,45.9,,,0,0,0,2.1,2.1,73,69
2026-06-13 20:48:57.081273,92.9,98.4,45.9,30.005,-0.065,0,0,0,2.1,2.1,73,69
2026-06-13 20:48:57.082238,92.9,98.4,45.9,30.005,-0.065,0,0,0,2.1,2.1,73,69
2026-06-14 08:55:43.497069,,,,,,,0,,,0,,
2026-06-14 08:55:43.499837,68.5,70.1,85.5,,,0,0,0,0.04,0.04,272,64
2026-06-14 08:55:43.500936,68.5,70.1,85.5,29.988,-0.04,0,0,0,0.04,0.04,272,64
2026-06-14 08:55:43.501872,68.5,70.1,85.5,29.988,-0.04,0,0,0,0.04,0.04,272,64
2026-06-14 15:28:45.570666,,,,,,,0,,,0,,
2026-06-14 15:28:45.573461,89.2,97.3,58.7,,,0,0,0,2.34,2.34,337,72.8
2026-06-14 15:28:45.574602,89.2,97.3,58.7,29.989,-0.012,0,0,0,2.34,2.34,337,72.8
2026-06-14 15:28:45.575509,89.2,97.3,58.7,29.989,-0.012,0,0,0,2.34,2.34,337,72.8
2026-06-14 20:23:41.754884,,,,,,,0,,,0,,
2026-06-14 20:23:41.758856,82,90,82,,,0.2,0,0.2,0,0,0,76
2026-06-14 20:23:41.760537,82,90,82,29.89,-0.054,0.2,0,0.2,0,0,0,76
2026-06-14 20:23:41.762008,82,90,82,29.89,-0.054,0.2,0,0.2,0,0,0,76
2026-06-15 16:22:29.636345,,,,,,,0,,,0,,
2026-06-15 16:22:29.639085,80.6,80.4,47.1,,,0,0,0.2,1.73,1.73,73,58.6
2026-06-15 16:22:29.640215,80.6,80.4,47.1,30.005,0.037,0,0,0.2,1.73,1.73,73,58.6
2026-06-15 16:22:29.641219,80.6,80.4,47.1,30.005,0.037,0,0,0.2,1.73,1.73,73,58.6
2026-06-15 23:16:15.201167,,,,,,,0,,,0,,
2026-06-15 23:16:15.204052,85.2,84.4,39.5,,,0,0,0,1.67,1.67,261,57.8
2026-06-15 23:16:15.205232,85.2,84.4,39.5,29.941,-0.041,0,0,0,1.67,1.67,261,57.8
2026-06-15 23:16:15.206140,85.2,84.4,39.5,29.941,-0.041,0,0,0,1.67,1.67,261,57.8
2026-06-16 18:11:21.901105,,,,,,,0,,,0,,
2026-06-16 18:11:21.903934,85.2,84.4,39.5,,,0,0,0,1.67,1.67,261,57.8
2026-06-16 18:11:21.905084,85.2,84.4,39.5,29.941,-0.041,0,0,0,1.67,1.67,261,57.8
2026-06-16 18:11:21.906013,85.2,84.4,39.5,29.941,-0.041,0,0,0,1.67,1.67,261,57.8
2026-06-16 23:50:43.048260,,,,,,,0,,,0,,
2026-06-16 23:50:43.050934,79.1,79.2,51.1,,,0,0,0,1.14,1.14,48,59.5
2026-06-16 23:50:43.052023,79.1,79.2,51.1,29.878,-0.015,0,0,0,1.14,1.14,48,59.5
2026-06-16 23:50:43.052930,79.1,79.2,51.1,29.878,-0.015,0,0,0,1.14,1.14,48,59.5
2026-06-17 13:01:04.176812,,,,,,,0,,,0,,
2026-06-17 13:01:04.179419,73.3,74.4,72.1,,,0,0,0,1.07,1.07,81,63.8
2026-06-17 13:01:04.180551,73.3,74.4,72.1,29.949,0.033,0,0,0,1.07,1.07,81,63.8
2026-06-17 13:01:04.181518,73.3,74.4,72.1,29.949,0.033,0,0,0,1.07,1.07,81,63.8
2026-06-17 20:37:17.524575,,,,,,,0,,,0,,
2026-06-17 20:37:17.526882,90.2,90,35.9,,,0,0,0,2.26,2.26,15,59.6
2026-06-17 20:37:17.528016,90.2,90,35.9,29.863,-0.04,0,0,0,2.26,2.26,15,59.6
2026-06-17 20:37:17.528990,90.2,90,35.9,29.863,-0.04,0,0,0,2.26,2.26,15,59.6
2026-06-18 11:40:07.512564,,,,,,,0,,,0,,
2026-06-18 11:40:07.515298,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-18 11:40:07.516467,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-18 11:40:07.517442,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-18 19:59:36.001226,,,,,,,0,,,0,,
2026-06-18 19:59:36.003984,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-18 19:59:36.005095,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-18 19:59:36.006020,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-19 11:55:36.966877,,,,,,,0,,,0,,
2026-06-19 11:55:36.969514,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-19 11:55:36.970636,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-19 11:55:36.971604,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-19 18:20:31.816967,,,,,,,0,,,0,,
2026-06-19 18:20:31.819626,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-19 18:20:31.820816,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-19 18:20:31.821793,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-19 22:12:24.175217,,,,,,,0,,,0,,
2026-06-19 22:12:24.177705,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-19 22:12:24.178919,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-19 22:12:24.179931,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-20 09:54:14.673826,,,,,,,0,,,0,,
2026-06-20 09:54:14.676720,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-20 09:54:14.678053,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-20 09:54:14.679070,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-20 15:56:09.590618,,,,,,,0,,,0,,
2026-06-20 15:56:09.593528,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-20 15:56:09.594723,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-20 15:56:09.595731,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-20 20:51:31.239842,,,,,,,0,,,0,,
2026-06-20 20:51:31.242495,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-20 20:51:31.243657,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-20 20:51:31.244644,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-21 10:45:25.114016,,,,,,,0,,,0,,
2026-06-21 10:45:25.116493,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-21 10:45:25.117423,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-21 10:45:25.118144,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-21 16:23:23.907282,,,,,,,0,,,0,,
2026-06-21 16:23:23.909800,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-21 16:23:23.910941,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-21 16:23:23.911876,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-21 20:58:28.201460,,,,,,,0,,,0,,
2026-06-21 20:58:28.204223,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-21 20:58:28.205385,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-21 20:58:28.206360,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-22 15:58:23.454075,,,,,,,0,,,0,,
2026-06-22 15:58:23.456807,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-22 15:58:23.457974,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-22 15:58:23.458944,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-22 22:25:54.260567,,,,,,,0,,,0,,
2026-06-22 22:25:54.263303,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-22 22:25:54.264484,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-22 22:25:54.265418,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-23 10:47:28.991258,,,,,,,0,,,0,,
2026-06-23 10:47:28.993563,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-23 10:47:28.994674,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-23 10:47:28.995655,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-23 17:30:11.177598,,,,,,,0,,,0,,
2026-06-23 17:30:11.180451,88.7,87.8,35.4,,,0,0,0,1.94,1.94,24,57.8
2026-06-23 17:30:11.181563,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
2026-06-23 17:30:11.182502,88.7,87.8,35.4,29.879,-0.022,0,0,0,1.94,1.94,24,57.8
